Date,sp_500,algo,algo2,whale1,whale2,whale3,whale4
2013-06-13,0.014568921,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-14,-0.005919851,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-17,0.007510494,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-18,0.007730913,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-19,-0.01404603,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-20,-0.025651843,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-21,0.002662597,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-24,-0.012294274,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-25,0.009407883,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-26,0.009499395,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-27,0.006161666,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-06-28,-0.004308091,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-01,0.005374746,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-02,-0.000545202,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-03,0.00082332,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-05,0.01009872,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-08,0.005224144,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-09,0.007177786,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-10,0.00018153,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-11,0.013372975,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-12,0.003077033,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-15,0.001372957,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-16,-0.003722573,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-17,0.002766359,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-18,0.005007784,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-19,0.00160748,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-22,0.002028864,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-23,-0.001855364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-24,-0.003825759,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-25,0.002549919,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-26,0.000827594,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-29,-0.003750007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-30,0.000373674,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-07-31,-0.000136439,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-01,0.012385243,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-02,0.001637743,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-05,-0.001482011,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-06,-0.005755964,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-07,-0.003820428,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-08,0.003870443,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-09,-0.003582788,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-12,-0.001154208,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-13,0.002768334,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-14,-0.005203543,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-15,-0.014488479,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-16,-0.003315558,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-19,-0.005935385,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-20,0.0038067,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-21,-0.005813246,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-22,0.008545771,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-23,0.00393147,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-26,-0.004056061,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-27,-0.016130219,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-28,0.002740128,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-29,0.001959504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-08-30,-0.003184382,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-03,0.004146923,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-04,0.008051637,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-05,0.001208401,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-06,5.43751E-05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-09,0.009894061,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-10,0.007292205,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-11,0.003042987,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-12,-0.003391905,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-13,0.002707362,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-16,0.005660933,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-17,0.004200005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-18,0.012031156,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-19,-0.001846325,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-20,-0.007269388,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-23,-0.004741926,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-24,-0.002603952,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-25,-0.002746977,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-26,0.003473306,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-27,-0.004090439,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-09-30,-0.006065832,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-01,0.007935103,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-02,-0.000667111,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-03,-0.009060798,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-04,0.007003845,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-07,-0.008579338,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-08,-0.012486031,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-09,0.000573533,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-10,0.021364088,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-11,0.006247064,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-14,0.004058147,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-15,-0.007114001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-16,0.013638951,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-17,0.006698785,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-18,0.006506162,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-21,9.17084E-05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-22,0.005704776,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-23,-0.004746962,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-24,0.003247587,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-25,0.004375572,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-28,0.001327953,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-29,0.005553204,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-30,-0.004899876,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-10-31,-0.003854168,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-01,0.00289503,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-04,0.003557833,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-05,-0.002813434,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-06,0.004247412,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-07,-0.013358899,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-08,0.013249671,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-11,0.000722392,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-12,-0.002375982,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-13,0.008030303,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-14,0.004813975,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-15,0.004204251,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-18,-0.003711911,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-19,-0.002047129,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-20,-0.003648877,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-21,0.008063034,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-22,0.004936945,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-25,-0.001264924,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-26,0.000149771,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-27,0.002478932,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-29,-0.000786351,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-12-02,-0.002726415,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-12-03,-0.003203075,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-12-04,-0.001305214,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-12-05,-0.00435847,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-12-06,0.011113019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-12-09,0.001813788,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-12-10,-0.003189802,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-12-11,-0.011446398,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-12-12,-0.003784849,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-12-13,-0.00010139,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-12-16,0.006280296,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-12-17,-0.003110612,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-12-18,0.016375335,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-12-19,-0.000580239,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-12-20,0.004795636,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-12-23,0.005289963,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
